Order_ID,Customer_ID,Customer_Name,Gender,Age,City,Restaurant_ID,Restaurant_Name,Cuisine,Restaurant_Rating,Delivery_Partner,Vehicle_Type,Payment_Mode,Order_Date,Order_Time,Delivery_Time_Minutes,Distance_km,Order_Value,Discount,Delivery_Fee,Final_Amount,Order_Status,Customer_Rating,Weather,Festival
53,1154,Customer_15,Male,38,Hyderabad,1,Spice Hub,North Indian,4.7,Partner_19,Scooter,Debit Card,12-02-2025,23:41:00,42,3,1497,0,48,1545,Delivered,5,Cloudy,Yes
54,1124,Customer_255,Male,32,Mumbai,2,Pizza Point,Italian,4.2,Partner_17,Scooter,Debit Card,08-04-2025,21:09:00,57,1.1,361,150,75,286,Delivered,3,Cloudy,Yes
55,1129,Customer_234,Female,30,Delhi,4,Biryani House,Biryani,5,Partner_31,Bike,Credit Card,13-06-2025,14:28:00,39,9,907,150,39,796,Delivered,3,Sunny,No
56,1147,Customer_118,Female,32,Bengaluru,1,Spice Hub,North Indian,4.5,Partner_40,Scooter,Net Banking,05-06-2025,16:57:00,57,10.5,1359,0,78,1437,Delivered,1,Cloudy,Yes
57,1152,Customer_168,Female,29,Bengaluru,4,Biryani House,Biryani,3.8,Partner_35,Scooter,Wallet,03-02-2025,03:04:00,47,13.8,268,150,43,161,Delivered,3,Rainy,No
58,1204,Customer_286,Female,23,Chandigarh,3,Burger Town,Fast Food,4.7,Partner_1,Scooter,Wallet,06-02-2025,07:42:00,22,7.4,435,100,24,359,Delivered,3,Cloudy,No
59,1288,Customer_168,Male,59,Chandigarh,3,Burger Town,Fast Food,3.6,Partner_30,Cycle,Debit Card,07-01-2025,21:08:00,56,6.7,421,20,50,451,Delivered,1,Rainy,No
60,1190,Customer_277,Female,55,Delhi,1,Spice Hub,North Indian,4.6,Partner_10,Scooter,Net Banking,10-04-2025,15:29:00,21,12.7,680,150,28,558,Delivered,3,Sunny,No
61,1189,Customer_279,Female,21,Mumbai,4,Biryani House,Biryani,4.1,Partner_13,Bike,Cash,03-04-2025,03:23:00,20,10.3,1110,20,74,1164,Delivered,5,Sunny,Yes
62,1107,Customer_111,Male,39,Bengaluru,2,Pizza Point,Italian,4.7,Partner_39,Bike,Debit Card,18-01-2025,18:55:00,24,14.8,457,150,33,340,Delivered,2,Sunny,Yes
63,1090,Customer_136,Male,26,Mumbai,1,Spice Hub,North Indian,4.6,Partner_34,Bike,Net Banking,24-03-2025,00:32:00,19,7.7,933,20,57,970,Delivered,5,Cloudy,Yes
64,1155,Customer_235,Male,21,Hyderabad,5,Green Bowl,Healthy,5,Partner_26,Scooter,Net Banking,18-06-2025,17:47:00,21,7.9,653,150,22,525,Delivered,1,Sunny,No
65,1300,Customer_281,Female,42,Pune,2,Pizza Point,Italian,5,Partner_34,Scooter,Cash,09-06-2025,21:36:00,47,9.5,334,20,37,351,Delivered,1,Cloudy,Yes
66,1213,Customer_49,Female,45,Hyderabad,4,Biryani House,Biryani,4,Partner_17,Scooter,Credit Card,27-04-2025,13:36:00,58,13.9,667,100,41,608,Delivered,1,Sunny,No
67,1288,Customer_288,Female,60,Delhi,6,Tandoori Treat,Chinese,3.7,Partner_23,Cycle,Cash,16-01-2025,20:01:00,18,14.6,963,20,55,998,Delivered,3,Sunny,Yes
68,1285,Customer_189,Male,35,Mumbai,6,Tandoori Treat,Chinese,4.4,Partner_28,Cycle,Wallet,28-01-2025,11:57:00,54,10.4,1187,20,74,1241,Delivered,5,Cloudy,No
69,1004,Customer_93,Male,54,Delhi,2,Pizza Point,Italian,4.5,Partner_5,Bike,Net Banking,28-03-2025,11:58:00,55,14.6,759,50,78,787,Delivered,5,Sunny,No
70,1291,Customer_44,Male,27,Hyderabad,4,Biryani House,Biryani,3.7,Partner_40,Bike,Net Banking,21-03-2025,11:04:00,20,4.8,898,20,43,921,Delivered,4,Cloudy,No
71,1057,Customer_146,Female,51,Hyderabad,3,Burger Town,Fast Food,4.5,Partner_3,Bike,Cash,30-03-2025,14:40:00,53,1.8,641,150,27,518,Delivered,2,Sunny,No
72,1067,Customer_195,Male,50,Bengaluru,3,Burger Town,Fast Food,4.3,Partner_43,Scooter,UPI,21-04-2025,05:59:00,40,13.1,445,0,51,496,Delivered,1,Rainy,Yes
73,1149,Customer_59,Female,19,Bengaluru,5,Green Bowl,Healthy,4.9,Partner_11,Cycle,Cash,13-06-2025,14:15:00,59,13.9,1079,150,45,974,Delivered,1,Sunny,No
74,1114,Customer_171,Male,22,Pune,4,Biryani House,Biryani,4.3,Partner_8,Cycle,Wallet,21-03-2025,11:35:00,27,13.7,1273,0,45,1318,Delivered,2,Sunny,Yes
75,1039,Customer_91,Female,47,Mumbai,3,Burger Town,Fast Food,4.6,Partner_49,Cycle,Cash,09-02-2025,22:22:00,58,13.9,604,20,58,642,Delivered,5,Rainy,No
76,1141,Customer_29,Female,50,Mumbai,4,Biryani House,Biryani,3.6,Partner_30,Scooter,UPI,11-06-2025,10:20:00,18,6.2,339,100,48,287,Delivered,1,Cloudy,No
77,1097,Customer_165,Female,50,Hyderabad,5,Green Bowl,Healthy,3.7,Partner_4,Scooter,UPI,27-05-2025,22:14:00,36,14.8,1335,0,48,1383,Delivered,2,Sunny,Yes
78,1187,Customer_191,Female,42,Chandigarh,4,Biryani House,Biryani,4.1,Partner_22,Cycle,Wallet,06-06-2025,05:25:00,18,12,1099,150,53,1002,Delivered,1,Rainy,Yes
79,1077,Customer_171,Male,55,Pune,6,Tandoori Treat,Chinese,4.5,Partner_23,Scooter,Net Banking,18-06-2025,20:34:00,59,10.3,991,50,36,977,Delivered,1,Rainy,No
80,1217,Customer_261,Female,19,Chandigarh,3,Burger Town,Fast Food,4,Partner_12,Bike,Debit Card,15-06-2025,22:53:00,46,3.7,461,150,25,336,Cancelled,2,Sunny,No
81,1068,Customer_193,Male,28,Delhi,5,Green Bowl,Healthy,3.8,Partner_45,Cycle,Credit Card,19-06-2025,11:29:00,43,1.6,1305,150,22,1177,Delivered,2,Rainy,No
82,1100,Customer_189,Female,47,Chandigarh,4,Biryani House,Biryani,4.7,Partner_50,Scooter,Wallet,21-03-2025,16:00:00,48,6.9,679,150,35,564,Delivered,2,Cloudy,Yes
83,1064,Customer_146,Male,28,Bengaluru,1,Spice Hub,North Indian,3.9,Partner_33,Bike,Cash,27-01-2025,17:36:00,20,14.2,1184,50,55,1189,Delivered,4,Rainy,Yes
84,1042,Customer_192,Male,19,Hyderabad,1,Spice Hub,North Indian,4,Partner_7,Cycle,Net Banking,02-03-2025,13:10:00,36,12.1,1011,150,43,904,Delivered,3,Rainy,Yes
85,1132,Customer_111,Male,53,Chandigarh,4,Biryani House,Biryani,4.9,Partner_39,Cycle,Cash,21-01-2025,00:38:00,22,11.9,1118,150,20,988,Delivered,1,Sunny,Yes
86,1275,Customer_9,Male,27,Hyderabad,6,Tandoori Treat,Chinese,3.9,Partner_1,Cycle,Debit Card,29-01-2025,17:03:00,30,9,1475,100,24,1399,Delivered,1,Cloudy,No
87,1011,Customer_200,Female,20,Delhi,5,Green Bowl,Healthy,4.5,Partner_24,Scooter,Net Banking,10-05-2025,18:54:00,16,6,1314,150,70,1234,Delivered,2,Cloudy,Yes
88,1174,Customer_90,Female,48,Pune,6,Tandoori Treat,Chinese,4.4,Partner_9,Bike,Net Banking,01-04-2025,18:38:00,44,1.5,880,20,22,882,Delivered,2,Sunny,No
89,1098,Customer_147,Female,21,Bengaluru,5,Green Bowl,Healthy,4.8,Partner_22,Scooter,UPI,06-03-2025,01:14:00,38,7.1,1015,150,50,915,Delivered,4,Rainy,No
90,1043,Customer_218,Male,45,Mumbai,4,Biryani House,Biryani,4.4,Partner_12,Cycle,Debit Card,13-05-2025,09:06:00,35,2.4,1218,50,79,1247,Delivered,3,Rainy,No
91,1229,Customer_22,Female,57,Pune,6,Tandoori Treat,Chinese,5,Partner_18,Cycle,UPI,24-04-2025,11:59:00,19,10.4,1072,20,64,1116,Delivered,5,Cloudy,Yes
92,1121,Customer_188,Female,42,Delhi,2,Pizza Point,Italian,4.9,Partner_3,Cycle,Credit Card,02-02-2025,02:17:00,58,7.3,1444,100,22,1366,Delivered,4,Sunny,Yes
93,1059,Customer_14,Male,49,Pune,3,Burger Town,Fast Food,4.3,Partner_36,Bike,Debit Card,13-03-2025,08:31:00,31,10.9,1015,50,61,1026,Delivered,5,Rainy,No
94,1045,Customer_164,Female,22,Mumbai,1,Spice Hub,North Indian,4.3,Partner_19,Scooter,Credit Card,14-02-2025,15:11:00,60,10.9,477,0,48,525,Delivered,2,Rainy,Yes
95,1185,Customer_284,Female,47,Delhi,2,Pizza Point,Italian,4.7,Partner_36,Bike,Wallet,07-05-2025,00:53:00,20,1.9,484,20,70,534,Delivered,4,Cloudy,No
96,1231,Customer_239,Female,26,Hyderabad,5,Green Bowl,Healthy,4.8,Partner_50,Cycle,Net Banking,14-06-2025,02:31:00,52,3.5,351,20,40,371,Cancelled,4,Cloudy,Yes
97,1116,Customer_178,Female,23,Delhi,5,Green Bowl,Healthy,3.9,Partner_41,Cycle,Debit Card,11-02-2025,11:00:00,23,9.8,513,50,30,493,Delivered,1,Cloudy,Yes
98,1173,Customer_289,Male,19,Pune,5,Green Bowl,Healthy,3.6,Partner_42,Cycle,Debit Card,09-06-2025,20:39:00,56,4,515,20,62,557,Delivered,5,Cloudy,Yes
99,1126,Customer_208,Female,47,Hyderabad,6,Tandoori Treat,Chinese,3.6,Partner_4,Bike,Cash,19-03-2025,16:29:00,41,7.8,1317,50,61,1328,Delivered,5,Sunny,No
100,1288,Customer_55,Female,33,Chandigarh,3,Burger Town,Fast Food,4.2,Partner_18,Scooter,Credit Card,05-04-2025,17:34:00,24,2.4,907,100,28,835,Delivered,4,Cloudy,No
101,1082,Customer_256,Female,49,Mumbai,2,Pizza Point,Italian,4.8,Partner_32,Bike,UPI,22-03-2025,06:28:00,40,8.1,870,150,66,786,Cancelled,2,Cloudy,No
102,1241,Customer_147,Male,24,Delhi,1,Spice Hub,North Indian,4.1,Partner_17,Cycle,Debit Card,17-06-2025,22:57:00,40,6.1,776,100,58,734,Delivered,5,Cloudy,Yes
103,1282,Customer_144,Male,26,Bengaluru,5,Green Bowl,Healthy,5,Partner_26,Scooter,Debit Card,10-05-2025,15:22:00,50,14.1,791,0,44,835,Delivered,2,Cloudy,No
104,1266,Customer_234,Male,56,Pune,1,Spice Hub,North Indian,4.8,Partner_9,Scooter,Wallet,27-03-2025,16:10:00,35,3.3,292,0,28,320,Cancelled,3,Cloudy,No
105,1244,Customer_9,Female,39,Pune,5,Green Bowl,Healthy,4.5,Partner_27,Cycle,Debit Card,25-05-2025,10:13:00,59,9.8,1290,100,65,1255,Delivered,3,Cloudy,Yes
106,1195,Customer_76,Male,20,Chandigarh,1,Spice Hub,North Indian,4.4,Partner_45,Bike,Credit Card,15-05-2025,21:28:00,16,7.2,1395,100,30,1325,Delivered,4,Cloudy,Yes
107,1266,Customer_107,Female,60,Hyderabad,5,Green Bowl,Healthy,4.2,Partner_25,Scooter,Credit Card,16-01-2025,04:42:00,44,13.8,1452,100,75,1427,Delivered,3,Cloudy,No
108,1116,Customer_153,Female,31,Pune,4,Biryani House,Biryani,4.5,Partner_32,Scooter,Cash,23-05-2025,10:11:00,37,8.8,593,20,37,610,Cancelled,3,Rainy,Yes
109,1075,Customer_149,Male,36,Pune,6,Tandoori Treat,Chinese,4.9,Partner_6,Scooter,Cash,12-04-2025,11:46:00,56,4.6,1312,100,77,1289,Delivered,2,Cloudy,No
110,1123,Customer_125,Male,60,Pune,6,Tandoori Treat,Chinese,4.9,Partner_15,Cycle,Credit Card,07-06-2025,20:01:00,18,2.4,756,20,26,762,Delivered,4,Sunny,Yes
111,1103,Customer_148,Female,36,Delhi,5,Green Bowl,Healthy,4.5,Partner_50,Bike,Net Banking,02-05-2025,16:17:00,51,4.3,523,100,61,484,Delivered,1,Sunny,No
112,1005,Customer_153,Male,39,Mumbai,1,Spice Hub,North Indian,3.9,Partner_42,Cycle,Wallet,16-03-2025,01:16:00,46,13.4,1013,100,31,944,Delivered,5,Rainy,No
113,1132,Customer_96,Male,39,Mumbai,1,Spice Hub,North Indian,4.7,Partner_37,Cycle,Credit Card,28-04-2025,22:07:00,26,9.6,877,20,66,923,Delivered,4,Rainy,No
114,1128,Customer_4,Female,42,Delhi,4,Biryani House,Biryani,3.9,Partner_49,Scooter,Debit Card,03-05-2025,11:02:00,34,9.2,395,20,28,403,Delivered,3,Cloudy,No
115,1208,Customer_258,Female,25,Chandigarh,2,Pizza Point,Italian,4.5,Partner_19,Scooter,Wallet,20-03-2025,05:27:00,29,4.1,327,0,49,376,Delivered,2,Rainy,No
116,1112,Customer_127,Male,51,Hyderabad,6,Tandoori Treat,Chinese,4.2,Partner_46,Scooter,UPI,18-05-2025,22:40:00,51,2.6,1324,100,68,1292,Delivered,5,Sunny,Yes
117,1299,Customer_251,Male,50,Mumbai,3,Burger Town,Fast Food,4.2,Partner_4,Scooter,Credit Card,24-06-2025,07:00:00,47,6.8,1265,100,27,1192,Delivered,5,Rainy,No
118,1297,Customer_38,Male,45,Chandigarh,1,Spice Hub,North Indian,4,Partner_5,Cycle,UPI,01-01-2025,07:26:00,19,14.8,1010,50,72,1032,Delivered,3,Rainy,Yes
119,1194,Customer_193,Male,60,Mumbai,6,Tandoori Treat,Chinese,4.8,Partner_9,Cycle,Debit Card,08-04-2025,15:18:00,22,3.5,1060,50,77,1087,Delivered,5,Sunny,Yes
120,1273,Customer_195,Male,33,Delhi,1,Spice Hub,North Indian,4.2,Partner_10,Scooter,Credit Card,20-05-2025,14:28:00,22,1.5,811,100,63,774,Delivered,5,Sunny,Yes
121,1025,Customer_126,Male,43,Mumbai,1,Spice Hub,North Indian,4.2,Partner_35,Bike,UPI,25-04-2025,20:24:00,23,8.1,406,150,22,278,Delivered,5,Rainy,No
122,1141,Customer_32,Male,58,Mumbai,3,Burger Town,Fast Food,4.5,Partner_36,Scooter,UPI,16-04-2025,10:15:00,37,14.2,493,150,34,377,Delivered,5,Rainy,No
123,1124,Customer_116,Female,27,Hyderabad,2,Pizza Point,Italian,4.7,Partner_4,Cycle,Cash,18-05-2025,16:09:00,41,8.8,814,100,31,745,Delivered,2,Rainy,Yes
124,1275,Customer_98,Male,35,Bengaluru,6,Tandoori Treat,Chinese,4.1,Partner_39,Cycle,UPI,05-04-2025,03:09:00,19,3.6,361,100,74,335,Delivered,5,Sunny,No
125,1246,Customer_125,Male,43,Mumbai,3,Burger Town,Fast Food,4.9,Partner_36,Scooter,Debit Card,18-02-2025,04:00:00,39,7.5,820,0,33,853,Delivered,3,Rainy,No
126,1105,Customer_190,Female,44,Pune,4,Biryani House,Biryani,3.6,Partner_15,Cycle,Credit Card,01-05-2025,10:55:00,16,4.7,1154,0,71,1225,Cancelled,5,Cloudy,No
127,1126,Customer_256,Female,34,Bengaluru,2,Pizza Point,Italian,4.6,Partner_32,Cycle,Net Banking,08-04-2025,19:26:00,46,7.5,601,50,34,585,Delivered,3,Sunny,Yes
128,1031,Customer_269,Male,22,Chandigarh,5,Green Bowl,Healthy,4.9,Partner_43,Bike,UPI,19-05-2025,21:54:00,41,2.9,1200,20,78,1258,Delivered,1,Cloudy,Yes
129,1248,Customer_250,Male,18,Delhi,2,Pizza Point,Italian,4.3,Partner_27,Bike,UPI,16-01-2025,21:05:00,48,11.1,1235,100,43,1178,Delivered,3,Sunny,No
130,1270,Customer_130,Female,35,Mumbai,1,Spice Hub,North Indian,4.7,Partner_6,Scooter,Cash,03-03-2025,06:33:00,44,8.9,397,150,29,276,Cancelled,2,Rainy,Yes
131,1283,Customer_244,Male,58,Chandigarh,6,Tandoori Treat,Chinese,3.5,Partner_11,Bike,Cash,08-04-2025,12:52:00,42,10,264,0,45,309,Delivered,1,Cloudy,Yes
132,1144,Customer_279,Male,29,Mumbai,2,Pizza Point,Italian,4.9,Partner_21,Bike,Credit Card,12-01-2025,02:32:00,52,3,1360,100,37,1297,Delivered,4,Sunny,No
133,1277,Customer_170,Female,26,Mumbai,5,Green Bowl,Healthy,4.7,Partner_45,Cycle,UPI,10-04-2025,23:06:00,47,11.4,692,150,73,615,Delivered,1,Rainy,Yes
134,1016,Customer_140,Female,49,Delhi,3,Burger Town,Fast Food,3.8,Partner_36,Scooter,Cash,12-04-2025,11:08:00,26,10.5,1439,150,58,1347,Delivered,1,Cloudy,No
135,1079,Customer_200,Female,41,Mumbai,6,Tandoori Treat,Chinese,3.7,Partner_1,Scooter,Cash,09-02-2025,12:58:00,38,11.7,350,0,37,387,Delivered,1,Sunny,No
136,1046,Customer_182,Male,56,Hyderabad,5,Green Bowl,Healthy,4.4,Partner_21,Scooter,UPI,27-01-2025,00:53:00,33,6.8,1336,150,46,1232,Delivered,5,Sunny,Yes
137,1253,Customer_75,Male,28,Chandigarh,4,Biryani House,Biryani,4.2,Partner_27,Scooter,Cash,19-03-2025,09:09:00,19,6.1,547,20,37,564,Cancelled,4,Cloudy,Yes
138,1195,Customer_169,Female,39,Hyderabad,1,Spice Hub,North Indian,4.1,Partner_42,Cycle,Credit Card,12-04-2025,11:20:00,34,5.5,477,50,20,447,Cancelled,2,Rainy,No
